================== p:0.01 ==================
(256,677,4)
(442,261,3)
(267,547,3)
(807,685,4)
(373,210,2)
(448,15,3)
(57,850,3)
(511,885,2)
(952,960,4)
(424,808,3)
(523,706,3)
(414,475,3)
(321,866,2)
(188,522,3)
(78,408,3)
(652,56,4)
(932,861,3)
(250,399,2)
(129,869,3)
(680,416,3)
(193,241,3)
(376,521,4)
(606,42,4)
(572,400,3)
(776,630,3)
(84,973,3)
(782,247,3)
(353,751,3)
(32,651,3)
(765,623,3)
(366,889,2)
(150,428,4)
(618,229,2)
(419,372,4)
(845,815,3)
(344,907,4)
(839,93,4)
(905,553,3)
(348,572,4)
(624,785,3)
(634,891,4)
(41,947,3)
(794,280,3)
(175,371,4)
(855,620,4)
(413,756,3)
(732,616,4)
(793,38,3)
(828,114,4)
(135,494,3)
(99,177,3)
(855,694,3)
(558,992,2)
(723,915,4)
(524,254,3)
(742,506,3)
(615,735,2)
(157,850,3)
(651,808,3)
(840,934,4)
(901,773,3)
(341,846,3)
(824,85,3)
(91,490,2)
(66,842,4)
(485,498,2)
(432,820,3)
(674,715,3)
(193,170,3)
(246,736,2)
(460,254,1)
(949,264,3)
(507,758,3)
(436,251,4)
(484,911,4)
(992,942,3)
(19,977,3)
(47,647,4)
(350,723,3)
(580,266,2)
(883,635,3)
(401,344,3)
(6,435,4)
(885,365,4)
(751,59,2)
(637,302,3)
(357,468,3)
(650,944,3)
(649,877,4)
(200,678,3)
(896,224,3)
(737,899,2)
(313,348,3)
(0,75,3)
(69,152,3)
(154,453,3)
(41,715,3)
(187,68,3)
(846,159,3)
(147,210,3)
(241,860,3)
(618,301,3)
(82,62,3)
(731,297,3)
(948,499,3)
(559,599,3)
(651,187,3)
(690,446,3)
(775,710,3)
(900,96,3)
(218,282,4)
(367,971,3)
(188,59,2)
(419,545,3)
(884,777,3)
(143,2,4)
(485,813,3)
(883,995,4)
(519,310,3)
(368,234,3)
(202,48,4)
(955,77,2)
(343,252,2)
(642,617,4)
(415,487,3)
(899,2,4)
(474,44,3)
(622,719,4)
(478,246,3)
(971,629,4)
(698,529,4)
(197,425,3)
(636,237,3)
(747,541,3)
(779,448,4)
(852,113,4)
(844,935,3)
(579,962,3)
(343,825,3)
(720,895,3)
(213,460,4)
(261,281,3)
(291,395,3)
(381,453,3)
(312,517,3)
(320,392,4)
(93,753,3)
(998,353,3)
(927,497,3)
(380,808,4)
(889,289,4)
(282,184,3)
(414,646,3)
(607,293,4)
(704,16,4)
(62,853,3)
(755,153,2)
(801,484,4)
(382,219,3)
(855,694,3)
(196,593,3)
(437,948,4)
(611,564,4)
(621,4,4)
(778,936,3)
(339,635,2)
(271,38,3)
(697,227,3)
(382,23,2)
(168,367,3)
(770,828,3)
(732,961,3)
(886,92,4)
(511,545,4)
(361,654,3)
(881,750,4)
(413,91,3)
(610,58,3)
(106,99,4)
(524,498,3)
(97,669,4)
(612,101,3)
(801,533,4)
(602,302,3)
(220,926,4)
(477,168,3)
(562,507,3)
(472,564,4)
(256,934,4)
(365,671,3)
(719,303,3)
(380,326,3)
(764,261,3)
(248,306,3)
(685,337,2)
(399,493,2)
(481,718,3)
(151,347,4)
(958,157,3)
(788,804,3)
(836,413,3)
(179,42,3)
(296,427,4)
(423,281,3)
(822,740,4)
(442,872,4)
(505,91,2)
(939,774,3)
(9,102,4)
(571,237,3)
(266,905,4)
(342,888,4)
(914,481,3)
(838,610,3)
(221,585,4)
(415,267,3)
(752,618,4)
(489,397,3)
(28,71,4)
(80,370,3)
(160,20,3)
(624,184,4)
(500,338,2)
(587,541,3)
(173,152,4)
(737,667,3)
(306,936,3)
(190,922,3)
(367,242,3)
(545,465,2)
(986,805,3)
(255,256,4)
(671,342,3)
(230,547,4)
(755,164,3)
(159,359,3)
(83,953,1)
(507,16,3)
(388,432,3)
(571,270,3)
(758,240,3)
(566,390,3)
(297,451,4)
(757,291,3)
(200,85,3)
(464,397,3)
(842,23,4)
(468,335,4)
(658,572,2)
(320,357,4)
(624,482,3)
(103,255,3)
(588,580,4)
(343,255,3)
(37,851,4)
(252,578,3)
(338,165,3)
(718,628,3)
(712,23,3)
(934,600,4)
(262,349,3)
(379,394,2)
(542,521,3)
(902,626,3)
(276,343,4)
(714,200,4)
(904,227,2)
(782,558,4)
(829,756,2)
(319,541,4)
(969,565,2)
(295,468,3)
(271,329,4)
(480,988,3)
(233,484,4)
(850,193,2)
(903,250,3)
(659,791,3)
(988,652,3)
(953,76,3)
(839,372,4)
(448,885,3)
(423,651,4)
(885,727,3)
(775,131,3)
(996,923,3)
(157,367,2)
(566,355,2)
(857,977,3)
(966,266,4)
(978,976,3)
(392,609,3)
(705,447,4)
(191,252,4)
(516,37,4)
(299,532,3)
(517,392,4)
(500,988,3)
(17,850,3)
(98,329,4)
(713,467,4)
(953,246,4)
(666,431,3)
(76,753,3)
(317,929,4)
(533,257,5)
(613,795,3)
(73,649,4)
(739,488,4)
(380,962,4)
(373,2,4)
(103,82,3)
(119,641,4)
(638,35,3)
(49,500,4)
(443,974,4)
(554,320,3)
(840,442,3)
(398,481,3)
(978,992,3)
(728,961,4)
(861,670,3)
(861,27,4)
(179,937,3)
(917,59,2)
(837,146,4)
(640,374,4)
(13,111,3)
(954,713,3)
(642,457,3)
(103,636,3)
(356,693,4)
(348,255,3)
(274,509,3)
(320,390,3)
(469,721,4)
(636,339,3)
(847,570,2)
(993,617,4)
(756,674,3)
(943,151,4)
(403,447,3)
(921,598,4)
(70,66,4)
(105,164,4)
(62,421,2)
(28,156,4)
(933,788,4)
(218,782,3)
(535,732,4)
(585,472,4)
(52,477,3)
(421,853,3)
(419,71,3)
(54,420,4)
(353,342,3)
(58,411,3)
(717,770,3)
(173,26,3)
(856,737,2)
(378,65,2)
(626,161,3)
(122,666,2)
(369,756,2)
(556,468,2)
(169,230,2)
(763,797,4)
(371,579,4)
(377,726,3)
(353,154,3)
(828,527,3)
(73,20,3)
(162,626,3)
(942,169,4)
================== p:0.02 ==================
(712,49,3)
(471,616,3)
(704,53,2)
(640,281,2)
(502,390,3)
(119,980,3)
(54,406,3)
(686,502,3)
(514,520,3)
(849,279,3)
(387,245,2)
(484,752,2)
(497,838,3)
(876,12,2)
(432,900,3)
(88,953,3)
(518,774,2)
(867,824,2)
(844,463,2)
(495,815,3)
(83,221,3)
(157,874,3)
(924,476,3)
(560,351,2)
(421,8,3)
(417,309,3)
(866,351,3)
(742,786,2)
(972,984,3)
(988,797,2)
(998,834,3)
(685,95,2)
(383,256,3)
(635,928,3)
(307,643,2)
(782,242,3)
(800,93,2)
(692,867,3)
(662,320,2)
(915,359,2)
(834,356,3)
(762,753,3)
(205,96,2)
(42,550,3)
(185,547,3)
(427,971,3)
(760,914,3)
(879,978,3)
(151,766,3)
(362,749,1)
(353,3,3)
(370,836,3)
(188,216,3)
(158,810,3)
(959,245,3)
(839,376,3)
(260,565,3)
(700,249,3)
(800,787,2)
(775,60,3)
(416,965,3)
(615,41,3)
(754,435,2)
(382,724,3)
(78,728,2)
(117,639,2)
(116,406,3)
(299,522,3)
(375,18,3)
(164,954,3)
(213,726,2)
(638,944,2)
(564,17,2)
(511,95,2)
(250,799,3)
(760,447,3)
(889,433,2)
(290,552,2)
(134,608,2)
(646,948,3)
(869,720,3)
(453,390,3)
(339,859,2)
(181,951,3)
(88,672,3)
(579,676,3)
(930,6,3)
(899,985,3)
(412,891,3)
(57,172,3)
(799,19,2)
(266,561,2)
(366,888,3)
(282,342,2)
(846,975,3)
(63,855,3)
(199,93,3)
(472,771,2)
(266,615,3)
(581,591,2)
(550,940,3)
(417,392,2)
(660,575,3)
(438,203,3)
(172,502,2)
(765,173,3)
(467,209,3)
(325,424,3)
(872,724,3)
(233,818,3)
(506,582,2)
(836,755,3)
(798,466,3)
(779,401,3)
(637,250,2)
(461,326,2)
(630,13,3)
(694,321,2)
(698,651,3)
(562,202,2)
(552,735,3)
(966,315,3)
(570,730,2)
(290,591,3)
(618,105,3)
(669,841,3)
(512,857,3)
(90,737,2)
(791,156,3)
(569,317,3)
(74,145,2)
(452,139,3)
(933,783,2)
(307,846,3)
(140,762,2)
(894,831,2)
(751,38,2)
(745,565,2)
(531,548,3)
(364,84,3)
(703,704,3)
(197,829,3)
(124,85,3)
(75,41,3)
(53,37,3)
(660,59,3)
(862,339,3)
(970,104,3)
(424,991,3)
(3,291,3)
(624,715,1)
(342,723,3)
(775,739,3)
(376,951,3)
(203,122,2)
(716,703,3)
(504,77,3)
(835,190,2)
(952,733,2)
(769,177,3)
(3,491,3)
(805,478,3)
(288,966,3)
(968,338,2)
(380,141,3)
(117,432,2)
(876,284,2)
(445,801,3)
(903,203,3)
(581,175,3)
(805,508,2)
(720,435,2)
(872,366,3)
(502,166,3)
(938,930,3)
(609,800,3)
(562,416,2)
(718,469,3)
(117,523,2)
(769,233,3)
(659,376,3)
(279,484,3)
(671,969,3)
(157,444,3)
(422,53,2)
(860,545,1)
(935,151,3)
(982,78,2)
(29,533,3)
(168,345,3)
(685,393,3)
(481,592,3)
(647,579,1)
(380,174,3)
(644,974,2)
(854,563,3)
(258,695,3)
(611,223,3)
(101,261,2)
(63,789,3)
(943,572,3)
(681,475,2)
(338,624,2)
(669,813,3)
(544,82,2)
(322,200,3)
(978,546,2)
(186,469,3)
(175,163,3)
(325,677,2)
(823,432,3)
(373,731,3)
(838,627,3)
(9,260,2)
(609,793,3)
(734,388,3)
(327,241,3)
(568,67,2)
(936,736,3)
(960,357,3)
(269,50,3)
(547,920,3)
(360,204,3)
(350,92,3)
(20,108,3)
(163,300,3)
(105,41,3)
(334,960,2)
(686,256,2)
(64,54,3)
(86,610,3)
(249,398,3)
(944,56,3)
(473,543,2)
(551,379,2)
(704,980,3)
(288,898,3)
